[2020-11-21 14:40:59,405]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:40:59,571]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:42:18,108]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:42:18,149]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:42:18,248]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:42:26,375]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:42:26,409]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:42:26,490]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:42:29,498]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:42:29,533]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:42:29,650]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:42:32,679]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:42:32,740]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:42:32,828]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:42:40,448]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:42:40,482]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:42:40,567]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:54:15,372]-[util.py]-[INFO]:[打开浏览器，输入网址完毕！]
[2020-11-21 14:54:17,763]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 14:54:17,801]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:17,865]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 14:54:20,227]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 14:54:20,256]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:20,324]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 14:54:22,665]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 14:54:22,694]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:22,760]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 14:54:25,119]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 14:54:25,156]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:25,218]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 14:54:27,689]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 14:54:27,724]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:27,801]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 14:54:30,179]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 14:54:30,210]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:30,275]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 14:54:32,620]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:54:32,689]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:32,889]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:54:37,915]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:54:37,949]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:38,031]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:54:41,044]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:54:41,080]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:41,160]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:54:44,207]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:54:44,241]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:54:44,319]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:55:16,169]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:55:16,208]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:55:16,300]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 14:55:20,151]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 14:55:20,185]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 14:55:20,269]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 18:06:05,554]-[util.py]-[INFO]:[打开浏览器，输入网址完毕！]
[2020-11-21 18:06:07,916]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 18:06:07,954]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:08,023]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 18:06:10,398]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 18:06:10,430]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:10,503]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 18:06:12,861]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 18:06:12,890]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:12,958]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 18:06:15,314]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 18:06:15,352]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:15,416]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 18:06:17,824]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 18:06:17,858]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:17,931]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 18:06:20,264]-[util.py]-[INFO]:[登录完成！]
[2020-11-21 18:06:20,295]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:20,360]-[util.py]-[INFO]:[点击确认按钮！]
[2020-11-21 18:06:22,742]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 18:06:22,826]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:23,047]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 18:06:27,408]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 18:06:27,442]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:27,523]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 18:06:36,457]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 18:06:36,492]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:36,572]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 18:06:40,337]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 18:06:40,372]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:06:40,459]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 18:07:03,048]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 18:07:03,088]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:07:03,206]-[util.py]-[INFO]:[退出成功！]
[2020-11-21 18:07:06,266]-[util.py]-[INFO]:[登录完毕！]
[2020-11-21 18:07:06,304]-[util.py]-[INFO]:[断言成功！]
[2020-11-21 18:07:06,405]-[util.py]-[INFO]:[退出成功！]
